PRES	MOLEFRAC METHA-01	TOTAL TEMP	TOTAL KVL METHA-01	TOTAL KVL ETHAN-01	LIQUID1 GAMMA METHA-01	LIQUID1 GAMMA ETHAN-01	LIQUID2 GAMMA METHA-01	LIQUID2 GAMMA ETHAN-01	TOTAL KVL2 METHA-01	TOTAL KVL2 ETHAN-01	TOTAL BETA	VAPOR MOLEFRAC METHA-01	VAPOR MOLEFRAC ETHAN-01	LIQUID1 MOLEFRAC METHA-01	LIQUID1 MOLEFRAC ETHAN-01	LIQUID2 MOLEFRAC METHA-01	LIQUID2 MOLEFRAC ETHAN-01	LIQUID GAMMA METHA-01
bar		K															
1	0.098	349.0598	1.72601	0.9211209	1.113565	1.000607					1	0.169149	0.830851	0.098	0.902			1.113565
1	0.1	349.019	1.723072	0.9196587	1.11329	1.000634					1	0.1723072	0.8276928	0.1	0.9			1.11329
1	0.102	348.9782	1.720143	0.9182021	1.113015	1.000661					1	0.1754546	0.8245454	0.102	0.898			1.113015
1	0.104	348.9376	1.717222	0.916751	1.112739	1.000689					1	0.1785911	0.8214089	0.104	0.896			1.112739
1	0.106	348.8971	1.714311	0.9153054	1.112463	1.000718					1	0.1817169	0.8182831	0.106	0.894			1.112463
1	0.108	348.8566	1.711408	0.9138654	1.112187	1.000747					1	0.1848321	0.8151679	0.108	0.892			1.112187
1	0.11	348.8162	1.708514	0.9124309	1.11191	1.000777					1	0.1879365	0.8120635	0.11	0.89			1.11191
1	0.112	348.7759	1.705629	0.9110018	1.111633	1.000808					1	0.1910304	0.8089696	0.112	0.888			1.111633
1	0.114	348.7357	1.702752	0.9095782	1.111355	1.000839					1	0.1941137	0.8058863	0.114	0.886			1.111355
1	0.116	348.6956	1.699884	0.90816	1.111077	1.000871					1	0.1971866	0.8028134	0.116	0.884			1.111077
1	0.118	348.6556	1.697025	0.9067472	1.110799	1.000904					1	0.2002489	0.7997511	0.118	0.882			1.110799
1	0.12	348.6156	1.694174	0.9053399	1.110521	1.000937					1	0.2033009	0.7966991	0.12	0.88			1.110521
1	0.122	348.5758	1.691332	0.9039379	1.110242	1.000971					1	0.2063425	0.7936575	0.122	0.878			1.110242
1	0.124	348.536	1.688498	0.9025413	1.109962	1.001006					1	0.2093738	0.7906262	0.124	0.876			1.109962
1	0.126	348.4963	1.685673	0.9011501	1.109683	1.001042					1	0.2123948	0.7876052	0.126	0.874			1.109683
1	0.128	348.4567	1.682857	0.8997642	1.109403	1.001078					1	0.2154056	0.7845944	0.128	0.872			1.109403
1	0.13	348.4171	1.680048	0.8983836	1.109123	1.001115					1	0.2184063	0.7815937	0.13	0.87			1.109123
1	0.132	348.3777	1.677249	0.8970083	1.108842	1.001153					1	0.2213968	0.7786032	0.132	0.868			1.108842
1	0.134	348.3383	1.674457	0.8956383	1.108561	1.001191					1	0.2243772	0.7756228	0.134	0.866			1.108561
1	0.136	348.2991	1.671674	0.8942735	1.10828	1.00123					1	0.2273477	0.7726523	0.136	0.864			1.10828
1	0.138	348.2599	1.668899	0.8929141	1.107998	1.00127					1	0.2303081	0.7696919	0.138	0.862			1.107998
1	0.14	348.2207	1.666133	0.8915598	1.107716	1.001311					1	0.2332586	0.7667414	0.14	0.86			1.107716
1	0.142	348.1817	1.663374	0.8902108	1.107434	1.001352					1	0.2361991	0.7638009	0.142	0.858			1.107434
1	0.144	348.1428	1.660624	0.888867	1.107151	1.001394					1	0.2391299	0.7608701	0.144	0.856			1.107151
1	0.146	348.1039	1.657882	0.8875283	1.106869	1.001437					1	0.2420508	0.7579492	0.146	0.854			1.106869
1	0.148	348.0651	1.655149	0.8861948	1.106585	1.00148					1	0.244962	0.755038	0.148	0.852			1.106585
1	0.15	348.0264	1.652423	0.8848665	1.106302	1.001525					1	0.2478635	0.7521365	0.15	0.85			1.106302
1	0.152	347.9878	1.649706	0.8835433	1.106018	1.00157					1	0.2507552	0.7492448	0.152	0.848			1.106018
1	0.154	347.9492	1.646996	0.8822253	1.105733	1.001616					1	0.2536374	0.7463626	0.154	0.846			1.105733
1	0.156	347.9108	1.644295	0.8809124	1.105449	1.001663					1	0.25651	0.74349	0.156	0.844			1.105449
1	0.158	347.8724	1.641601	0.8796045	1.105164	1.00171					1	0.259373	0.740627	0.158	0.842			1.105164
1	0.16	347.8341	1.638916	0.8783017	1.104879	1.001759					1	0.2622265	0.7377735	0.16	0.84			1.104879
1	0.162	347.79589	1.636238	0.877004	1.104593	1.001808					1	0.2650706	0.7349294	0.162	0.838			1.104593
1	0.164	347.75775	1.633569	0.8757114	1.104307	1.001858					1	0.2679053	0.7320947	0.164	0.836			1.104307
1	0.166	347.7197	1.630907	0.8744237	1.104021	1.001908					1	0.2707306	0.7292694	0.166	0.834			1.104021
1	0.168	347.68172	1.628254	0.8731411	1.103735	1.00196					1	0.2735466	0.7264534	0.168	0.832			1.103735
1	0.17	347.64383	1.625608	0.8718635	1.103448	1.002012					1	0.2763533	0.7236467	0.17	0.83			1.103448
1	0.172	347.60602	1.622969	0.8705909	1.103161	1.002065					1	0.2791507	0.7208493	0.172	0.828			1.103161
1	0.174	347.56828	1.620339	0.8693232	1.102873	1.00212					1	0.281939	0.718061	0.174	0.826			1.102873
1	0.176	347.53063	1.617717	0.8680605	1.102585	1.002174					1	0.2847181	0.7152819	0.176	0.824			1.102585
1	0.178	347.49306	1.615102	0.8668028	1.102297	1.00223					1	0.2874881	0.7125119	0.178	0.822			1.102297
1	0.18	347.45556	1.612495	0.86555	1.102009	1.002287					1	0.290249	0.709751	0.18	0.82			1.102009
1	0.182	347.41815	1.609895	0.8643021	1.10172	1.002344					1	0.2930009	0.7069991	0.182	0.818			1.10172
1	0.184	347.38081	1.607303	0.8630591	1.101431	1.002403					1	0.2957438	0.7042562	0.184	0.816			1.101431
1	0.186	347.34355	1.604719	0.861821	1.101142	1.002462					1	0.2984777	0.7015223	0.186	0.814			1.101142
1	0.188	347.30637	1.602142	0.8605878	1.100852	1.002522					1	0.3012027	0.6987973	0.188	0.812			1.100852
1	0.19	347.26928	1.599573	0.8593594	1.100562	1.002583					1	0.3039189	0.6960811	0.19	0.81			1.100562
1	0.192	347.23225	1.597012	0.8581359	1.100272	1.002645					1	0.3066262	0.6933738	0.192	0.808			1.100272
1	0.194	347.1953	1.594458	0.8569172	1.099981	1.002707					1	0.3093248	0.6906752	0.194	0.806			1.099981
1	0.196	347.1584	1.591911	0.8557033	1.09969	1.002771					1	0.3120146	0.6879854	0.196	0.804			1.09969
1	0.198	347.1217	1.589372	0.8544942	1.099399	1.002835					1	0.3146956	0.6853044	0.198	0.802			1.099399
1	0.2	347.085	1.58684	0.8532899	1.099108	1.002901					1	0.317368	0.682632	0.2	0.8			1.099108
1	0.202	347.0483	1.584316	0.8520904	1.098816	1.002967					1	0.3200318	0.6799682	0.202	0.798			1.098816
1	0.204	347.0118	1.581799	0.8508957	1.098524	1.003035					1	0.322687	0.677313	0.204	0.796			1.098524
1	0.206	346.9753	1.57929	0.8497057	1.098232	1.003103					1	0.3253336	0.6746664	0.206	0.794			1.098232
1	0.208	346.9389	1.576787	0.8485205	1.097939	1.003172					1	0.3279718	0.6720282	0.208	0.792			1.097939
1	0.21	346.9026	1.574292	0.84734	1.097646	1.003242					1	0.3306014	0.6693986	0.21	0.79			1.097646
1	0.212	346.8663	1.571805	0.8461642	1.097353	1.003313					1	0.3332226	0.6667774	0.212	0.788			1.097353
1	0.214	346.8302	1.569324	0.8449931	1.09706	1.003385					1	0.3358354	0.6641646	0.214	0.786			1.09706
1	0.216	346.7941	1.566851	0.8438267	1.096766	1.003458					1	0.3384399	0.6615601	0.216	0.784			1.096766
1	0.218	346.7581	1.564385	0.842665	1.096472	1.003532					1	0.341036	0.658964	0.218	0.782			1.096472
1	0.22	346.7221	1.561926	0.8415079	1.096177	1.003607					1	0.3436238	0.6563762	0.22	0.78			1.096177
1	0.222	346.6863	1.559475	0.8403555	1.095883	1.003683					1	0.3462034	0.6537966	0.222	0.778			1.095883
1	0.224	346.6505	1.55703	0.8392077	1.095588	1.00376					1	0.3487748	0.6512252	0.224	0.776			1.095588
1	0.226	346.6148	1.554593	0.8380646	1.095293	1.003838					1	0.351338	0.648662	0.226	0.774			1.095293
1	0.228	346.5792	1.552163	0.8369261	1.094997	1.003917					1	0.3538931	0.6461069	0.228	0.772			1.094997
1	0.23	346.5436	1.549739	0.8357921	1.094702	1.003997					1	0.35644	0.64356	0.23	0.77			1.094702
1	0.232	346.5081	1.547323	0.8346628	1.094406	1.004078					1	0.358979	0.641021	0.232	0.768			1.094406
1	0.234	346.4727	1.544914	0.8335381	1.094109	1.00416					1	0.3615098	0.6384902	0.234	0.766			1.094109
1	0.236	346.4374	1.542512	0.8324179	1.093813	1.004243					1	0.3640327	0.6359673	0.236	0.764			1.093813
1	0.238	346.4021	1.540116	0.8313023	1.093516	1.004327					1	0.3665477	0.6334523	0.238	0.762			1.093516
1	0.24	346.3669	1.537728	0.8301912	1.093219	1.004412					1	0.3690547	0.6309453	0.24	0.76			1.093219
1	0.242	346.3318	1.535346	0.8290846	1.092922	1.004498					1	0.3715538	0.6284462	0.242	0.758			1.092922
1	0.244	346.2968	1.532972	0.8279826	1.092624	1.004585					1	0.3740451	0.6259549	0.244	0.756			1.092624
1	0.246	346.2619	1.530604	0.8268851	1.092327	1.004674					1	0.3765286	0.6234714	0.246	0.754			1.092327
1	0.248	346.227	1.528243	0.8257921	1.092028	1.004763					1	0.3790043	0.6209957	0.248	0.752			1.092028
1	0.25	346.1922	1.525889	0.8247036	1.09173	1.004853					1	0.3814723	0.6185277	0.25	0.75			1.09173
1	0.252	346.1574	1.523542	0.8236195	1.091432	1.004945					1	0.3839326	0.6160674	0.252	0.748			1.091432
1	0.254	346.1228	1.521202	0.8225399	1.091133	1.005038					1	0.3863852	0.6136148	0.254	0.746			1.091133
1	0.256	346.0882	1.518868	0.8214648	1.090834	1.005131					1	0.3888302	0.6111698	0.256	0.744			1.090834
1	0.258	346.0537	1.516541	0.8203941	1.090534	1.005226					1	0.3912675	0.6087325	0.258	0.742			1.090534
1	0.26	346.0193	1.514221	0.8193279	1.090235	1.005322					1	0.3936974	0.6063027	0.26	0.74			1.090235
1	0.262	345.9849	1.511907	0.8182661	1.089935	1.005419					1	0.3961196	0.6038804	0.262	0.738			1.089935
1	0.264	345.9506	1.5096	0.8172087	1.089635	1.005517					1	0.3985344	0.6014656	0.264	0.736			1.089635
1	0.266	345.9164	1.5073	0.8161557	1.089335	1.005617					1	0.4009417	0.5990583	0.266	0.734			1.089335
1	0.268	345.8822	1.505006	0.8151071	1.089034	1.005717					1	0.4033416	0.5966584	0.268	0.732			1.089034
1	0.27	345.8482	1.502719	0.8140628	1.088733	1.005819					1	0.4057341	0.5942659	0.27	0.73			1.088733
1	0.272	345.8142	1.500438	0.813023	1.088432	1.005922					1	0.4081193	0.5918807	0.272	0.728			1.088432
1	0.274	345.7802	1.498165	0.8119875	1.088131	1.006026					1	0.4104971	0.5895029	0.274	0.726			1.088131
1	0.276	345.7464	1.495897	0.8109564	1.08783	1.006131					1	0.4128676	0.5871324	0.276	0.724			1.08783
1	0.278	345.7126	1.493636	0.8099296	1.087528	1.006237					1	0.4152308	0.5847692	0.278	0.722			1.087528
