PRES	MOLEFRAC ACETO-01	TOTAL TEMP	TOTAL KVL ACETO-01	TOTAL KVL METHA-01	LIQUID1 GAMMA ACETO-01	LIQUID1 GAMMA METHA-01	LIQUID2 GAMMA ACETO-01	LIQUID2 GAMMA METHA-01	TOTAL KVL2 ACETO-01	TOTAL KVL2 METHA-01	TOTAL BETA	VAPOR MOLEFRAC ACETO-01	VAPOR MOLEFRAC METHA-01	LIQUID1 MOLEFRAC ACETO-01	LIQUID1 MOLEFRAC METHA-01	LIQUID2 MOLEFRAC ACETO-01	LIQUID2 MOLEFRAC METHA-01	LIQUID GAMMA ACETO-01
bar		K															
1	0.098	334.5804	1.885978	0.9037408	1.56577	1.005489					1	0.1848258	0.8151742	0.098	0.902			1.56577
1	0.1	334.5341	1.879461	0.9022821	1.562659	1.005716					1	0.1879461	0.8120539	0.1	0.9			1.562659
1	0.102	334.488	1.872992	0.9008405	1.559562	1.005947					1	0.1910452	0.8089548	0.102	0.898			1.559562
1	0.104	334.4422	1.866572	0.8994158	1.556477	1.006183					1	0.1941235	0.8058765	0.104	0.896			1.556477
1	0.106	334.3968	1.860198	0.8980078	1.553406	1.006423					1	0.197181	0.802819	0.106	0.894			1.553406
1	0.108	334.3516	1.853872	0.8966164	1.550347	1.006668					1	0.2002182	0.7997818	0.108	0.892			1.550347
1	0.11	334.3068	1.847592	0.8952414	1.547301	1.006917					1	0.2032351	0.7967649	0.11	0.89			1.547301
1	0.112	334.2622	1.841358	0.8938828	1.544267	1.007171					1	0.2062321	0.7937679	0.112	0.888			1.544267
1	0.114	334.218	1.83517	0.8925403	1.541246	1.00743					1	0.2092093	0.7907907	0.114	0.886			1.541246
1	0.116	334.174	1.829026	0.8912138	1.538238	1.007693					1	0.212167	0.787833	0.116	0.884			1.538238
1	0.118	334.1304	1.822928	0.8899031	1.535243	1.007961					1	0.2151054	0.7848946	0.118	0.882			1.535243
1	0.12	334.087	1.816873	0.8886082	1.53226	1.008233					1	0.2180248	0.7819752	0.12	0.88			1.53226
1	0.122	334.0439	1.810863	0.8873289	1.529289	1.00851					1	0.2209252	0.7790748	0.122	0.878			1.529289
1	0.124	334.0011	1.804896	0.886065	1.526331	1.008792					1	0.223807	0.776193	0.124	0.876			1.526331
1	0.126	333.9586	1.798972	0.8848165	1.523385	1.009078					1	0.2266704	0.7733296	0.126	0.874			1.523385
1	0.128	333.9164	1.79309	0.8835831	1.520452	1.009369					1	0.2295155	0.7704845	0.128	0.872			1.520452
1	0.13	333.8745	1.787251	0.8823648	1.517531	1.009665					1	0.2323426	0.7676574	0.13	0.87			1.517531
1	0.132	333.8328	1.781453	0.8811615	1.514622	1.009965					1	0.2351518	0.7648482	0.132	0.868			1.514622
1	0.134	333.7914	1.775697	0.8799729	1.511725	1.01027					1	0.2379434	0.7620566	0.134	0.866			1.511725
1	0.136	333.7503	1.769983	0.878799	1.508841	1.010579					1	0.2407176	0.7592824	0.136	0.864			1.508841
1	0.138	333.7094	1.764308	0.8776397	1.505968	1.010893					1	0.2434745	0.7565255	0.138	0.862			1.505968
1	0.14	333.6689	1.758674	0.8764949	1.503108	1.011212					1	0.2462144	0.7537856	0.14	0.86			1.503108
1	0.142	333.6285	1.75308	0.8753643	1.50026	1.011535					1	0.2489374	0.7510626	0.142	0.858			1.50026
1	0.144	333.5885	1.747526	0.874248	1.497423	1.011863					1	0.2516437	0.7483563	0.144	0.856			1.497423
1	0.146	333.5487	1.742011	0.8731457	1.494599	1.012196					1	0.2543335	0.7456665	0.146	0.854			1.494599
1	0.148	333.5092	1.736534	0.8720575	1.491786	1.012533					1	0.257007	0.742993	0.148	0.852			1.491786
1	0.15	333.4699	1.731096	0.870983	1.488985	1.012875					1	0.2596644	0.7403356	0.15	0.85			1.488985
1	0.152	333.4309	1.725696	0.8699224	1.486196	1.013222					1	0.2623058	0.7376942	0.152	0.848			1.486196
1	0.154	333.3922	1.720334	0.8688753	1.483419	1.013573					1	0.2649314	0.7350686	0.154	0.846			1.483419
1	0.156	333.3537	1.71501	0.8678418	1.480654	1.013929					1	0.2675415	0.7324585	0.156	0.844			1.480654
1	0.158	333.3154	1.709722	0.8668217	1.4779	1.01429					1	0.2701361	0.7298639	0.158	0.842			1.4779
1	0.16	333.2774	1.704471	0.865815	1.475158	1.014655					1	0.2727154	0.7272846	0.16	0.84			1.475158
1	0.162	333.2396	1.699257	0.8648214	1.472427	1.015025					1	0.2752796	0.7247204	0.162	0.838			1.472427
1	0.164	333.2021	1.694079	0.863841	1.469708	1.0154					1	0.2778289	0.7221711	0.164	0.836			1.469708
1	0.166	333.1649	1.688937	0.8628735	1.467001	1.015779					1	0.2803634	0.7196366	0.166	0.834			1.467001
1	0.168	333.1278	1.68383	0.861919	1.464304	1.016163					1	0.2828834	0.7171166	0.168	0.832			1.464304
1	0.17	333.0911	1.678758	0.8609773	1.46162	1.016552					1	0.2853888	0.7146112	0.17	0.83			1.46162
1	0.172	333.0545	1.673721	0.8600483	1.458946	1.016945					1	0.28788	0.71212	0.172	0.828			1.458946
1	0.174	333.0182	1.668719	0.8591319	1.456284	1.017344					1	0.290357	0.709643	0.174	0.826			1.456284
1	0.176	332.9821	1.663751	0.858228	1.453633	1.017746					1	0.2928201	0.7071799	0.176	0.824			1.453633
1	0.178	332.9463	1.658817	0.8573365	1.450994	1.018154					1	0.2952693	0.7047307	0.178	0.822			1.450994
1	0.18	332.9106	1.653916	0.8564574	1.448365	1.018566					1	0.2977049	0.7022951	0.18	0.82			1.448365
1	0.182	332.8752	1.649049	0.8555905	1.445748	1.018983					1	0.3001269	0.6998731	0.182	0.818			1.445748
1	0.184	332.8401	1.644215	0.8547358	1.443142	1.019405					1	0.3025355	0.6974645	0.184	0.816			1.443142
1	0.186	332.8051	1.639414	0.8538932	1.440547	1.019831					1	0.3049309	0.6950691	0.186	0.814			1.440547
1	0.188	332.7704	1.634645	0.8530625	1.437963	1.020263					1	0.3073132	0.6926868	0.188	0.812			1.437963
1	0.19	332.7359	1.629908	0.8522437	1.43539	1.020698					1	0.3096825	0.6903175	0.19	0.81			1.43539
1	0.192	332.7017	1.625204	0.8514367	1.432828	1.021139					1	0.3120391	0.6879609	0.192	0.808			1.432828
1	0.194	332.6676	1.620531	0.8506415	1.430277	1.021584					1	0.3143829	0.6856171	0.194	0.806			1.430277
1	0.196	332.6338	1.615889	0.8498578	1.427736	1.022035					1	0.3167143	0.6832857	0.196	0.804			1.427736
1	0.198	332.6001	1.611279	0.8490858	1.425207	1.02249					1	0.3190332	0.6809668	0.198	0.802			1.425207
1	0.2	332.5667	1.606699	0.8483252	1.422688	1.022949					1	0.3213398	0.6786602	0.2	0.8			1.422688
1	0.202	332.5335	1.60215	0.847576	1.42018	1.023414					1	0.3236343	0.6763657	0.202	0.798			1.42018
1	0.204	332.5005	1.597632	0.8468381	1.417683	1.023883					1	0.3259168	0.6740832	0.204	0.796			1.417683
1	0.206	332.4677	1.593143	0.8461114	1.415196	1.024357					1	0.3281875	0.6718125	0.206	0.794			1.415196
1	0.208	332.4352	1.588685	0.8453959	1.412721	1.024836					1	0.3304463	0.6695537	0.208	0.792			1.412721
1	0.21	332.4028	1.584256	0.8446915	1.410255	1.025319					1	0.3326936	0.6673064	0.21	0.79			1.410255
1	0.212	332.3706	1.579856	0.8439982	1.4078	1.025807					1	0.3349294	0.6650706	0.212	0.788			1.4078
1	0.214	332.3387	1.575485	0.8433157	1.405356	1.026301					1	0.3371538	0.6628462	0.214	0.786			1.405356
1	0.216	332.3069	1.571143	0.8426441	1.402922	1.026798					1	0.339367	0.660633	0.216	0.784			1.402922
1	0.218	332.2753	1.56683	0.8419834	1.400499	1.027301					1	0.341569	0.658431	0.218	0.782			1.400499
1	0.22	332.244	1.562546	0.8413333	1.398086	1.027809					1	0.34376	0.65624	0.22	0.78			1.398086
1	0.222	332.2128	1.558289	0.8406939	1.395683	1.028321					1	0.3459402	0.6540598	0.222	0.778			1.395683
1	0.224	332.1818	1.55406	0.8400651	1.393291	1.028838					1	0.3481095	0.6518905	0.224	0.776			1.393291
1	0.226	332.1511	1.549859	0.8394468	1.390908	1.02936					1	0.3502682	0.6497318	0.226	0.774			1.390908
1	0.228	332.1205	1.545686	0.8388389	1.388537	1.029887					1	0.3524164	0.6475836	0.228	0.772			1.388537
1	0.23	332.0901	1.541539	0.8382415	1.386175	1.030419					1	0.3545541	0.6454459	0.23	0.77			1.386175
1	0.232	332.0599	1.53742	0.8376543	1.383823	1.030956					1	0.3566815	0.6433185	0.232	0.768			1.383823
1	0.234	332.0298	1.533328	0.8370774	1.381482	1.031497					1	0.3587987	0.6412013	0.234	0.766			1.381482
1	0.236	332	1.529262	0.8365107	1.379151	1.032043					1	0.3609058	0.6390942	0.236	0.764			1.379151
1	0.238	331.9704	1.525222	0.8359542	1.37683	1.032595					1	0.3630029	0.6369971	0.238	0.762			1.37683
1	0.24	331.9409	1.521209	0.8354077	1.374518	1.033151					1	0.3650902	0.6349098	0.24	0.76			1.374518
1	0.242	331.9116	1.517222	0.8348712	1.372217	1.033712					1	0.3671677	0.6328323	0.242	0.758			1.372217
1	0.244	331.8825	1.51326	0.8343446	1.369926	1.034278					1	0.3692355	0.6307645	0.244	0.756			1.369926
1	0.246	331.8536	1.509324	0.833828	1.367645	1.034848					1	0.3712937	0.6287063	0.246	0.754			1.367645
1	0.248	331.8249	1.505413	0.8333211	1.365373	1.035424					1	0.3733425	0.6266575	0.248	0.752			1.365373
1	0.25	331.7963	1.501528	0.8328241	1.363111	1.036004					1	0.3753819	0.6246181	0.25	0.75			1.363111
1	0.252	331.7679	1.497667	0.8323367	1.360859	1.03659					1	0.3774121	0.6225879	0.252	0.748			1.360859
1	0.254	331.7397	1.493831	0.8318591	1.358617	1.03718					1	0.3794331	0.6205669	0.254	0.746			1.358617
1	0.256	331.7117	1.49002	0.831391	1.356385	1.037776					1	0.3814451	0.6185549	0.256	0.744			1.356385
1	0.258	331.6838	1.486233	0.8309325	1.354162	1.038376					1	0.3834481	0.6165519	0.258	0.742			1.354162
1	0.26	331.6561	1.48247	0.8304835	1.351949	1.038981					1	0.3854422	0.6145578	0.26	0.74			1.351949
1	0.262	331.6286	1.478731	0.8300439	1.349746	1.039591					1	0.3874276	0.6125724	0.262	0.738			1.349746
1	0.264	331.6012	1.475016	0.8296137	1.347552	1.040206					1	0.3894043	0.6105957	0.264	0.736			1.347552
1	0.266	331.574	1.471325	0.8291928	1.345368	1.040827					1	0.3913725	0.6086275	0.266	0.734			1.345368
1	0.268	331.547	1.467657	0.8287813	1.343193	1.041452					1	0.3933321	0.6066679	0.268	0.732			1.343193
1	0.27	331.5202	1.464012	0.8283789	1.341028	1.042082					1	0.3952834	0.6047166	0.27	0.73			1.341028
1	0.272	331.4935	1.460391	0.8279858	1.338872	1.042717					1	0.3972263	0.6027737	0.272	0.728			1.338872
1	0.274	331.4669	1.456792	0.8276018	1.336725	1.043357					1	0.3991611	0.6008389	0.274	0.726			1.336725
1	0.276	331.4406	1.453216	0.8272269	1.334588	1.044002					1	0.4010877	0.5989123	0.276	0.724			1.334588
1	0.278	331.4144	1.449663	0.8268611	1.332461	1.044652					1	0.4030063	0.5969937	0.278	0.722			1.332461
1	0.28	331.3883	1.446132	0.8265042	1.330342	1.045307					1	0.404917	0.595083	0.28	0.72			1.330342
1	0.282	331.3624	1.442623	0.8261563	1.328233	1.045967					1	0.4068198	0.5931802	0.282	0.718			1.328233
1	0.284	331.3367	1.439137	0.8258173	1.326133	1.046632					1	0.4087148	0.5912852	0.284	0.716			1.326133
1	0.286	331.3111	1.435672	0.8254872	1.324043	1.047302					1	0.4106021	0.5893979	0.286	0.714			1.324043
1	0.288	331.2857	1.432229	0.8251659	1.321961	1.047978					1	0.4124819	0.5875181	0.288	0.712			1.321961
1	0.29	331.2604	1.428807	0.8248534	1.319889	1.048658					1	0.4143541	0.5856459	0.29	0.71			1.319889
1	0.292	331.2353	1.425407	0.8245496	1.317826	1.049343					1	0.4162189	0.5837811	0.292	0.708			1.317826
1	0.294	331.2104	1.422028	0.8242545	1.315772	1.050034					1	0.4180763	0.5819237	0.294	0.706			1.315772
1	0.296	331.1856	1.418671	0.823968	1.313727	1.05073					1	0.4199265	0.5800735	0.296	0.704			1.313727
1	0.298	331.1609	1.415334	0.8236902	1.311691	1.05143					1	0.4217695	0.5782305	0.298	0.702			1.311691
1	0.3	331.1364	1.412018	0.8234209	1.309663	1.052136					1	0.4236054	0.5763946	0.3	0.7			1.309663
1	0.302	331.112	1.408723	0.8231602	1.307645	1.052847					1	0.4254342	0.5745658	0.302	0.698			1.307645
1	0.304	331.0878	1.405448	0.8229079	1.305636	1.053563					1	0.4272561	0.5727439	0.304	0.696			1.305636
1	0.306	331.0638	1.402193	0.8226641	1.303636	1.054284					1	0.4290711	0.5709289	0.306	0.694			1.303636
1	0.308	331.0398	1.398959	0.8224287	1.301644	1.05501					1	0.4308793	0.5691207	0.308	0.692			1.301644
1	0.31	331.0161	1.395745	0.8222017	1.299662	1.055742					1	0.4326808	0.5673192	0.31	0.69			1.299662
1	0.312	330.9924	1.39255	0.821983	1.297688	1.056478					1	0.4344757	0.5655243	0.312	0.688			1.297688
1	0.314	330.9689	1.389376	0.8217727	1.295723	1.05722					1	0.4362639	0.5637361	0.314	0.686			1.295723
1	0.316	330.9456	1.386221	0.8215706	1.293767	1.057967					1	0.4380457	0.5619543	0.316	0.684			1.293767
1	0.318	330.9224	1.383085	0.8213767	1.291819	1.058719					1	0.4398211	0.5601789	0.318	0.682			1.291819
1	0.32	330.8993	1.379969	0.8211911	1.28988	1.059477					1	0.4415901	0.5584099	0.32	0.68			1.28988
1	0.322	330.8764	1.376872	0.8210135	1.28795	1.060239					1	0.4433528	0.5566472	0.322	0.678			1.28795
1	0.324	330.8536	1.373794	0.8208442	1.286028	1.061007					1	0.4451093	0.5548907	0.324	0.676			1.286028
1	0.326	330.8309	1.370735	0.8206829	1.284115	1.06178					1	0.4468597	0.5531403	0.326	0.674			1.284115
1	0.328	330.8084	1.367695	0.8205297	1.28221	1.062558					1	0.448604	0.551396	0.328	0.672			1.28221
1	0.33	330.786	1.364674	0.8203845	1.280314	1.063342					1	0.4503424	0.5496576	0.33	0.67			1.280314
1	0.332	330.7638	1.361671	0.8202474	1.278427	1.064131					1	0.4520748	0.5479252	0.332	0.668			1.278427
1	0.334	330.7417	1.358686	0.8201182	1.276548	1.064925					1	0.4538013	0.5461987	0.334	0.666			1.276548
