TEMP	PRES	VAPOR PHI ACETONE	VAPOR PHI METHANOL	VAPOR PHI ETHANOL	LIQUID PHI ACETONE	LIQUID PHI METHANOL	LIQUID PHI ETHANOL
K	bar					
340.56	1	0.9780562	0.9869348	0.9826592	1.42072	1.116379	0.6422647
340.64	1	0.97807	0.986943	0.9826701	1.424222	1.119783	0.644423
340.72	1	0.9780839	0.9869512	0.982681	1.427732	1.123195	0.6465873
340.8	1	0.9780977	0.9869595	0.9826919	1.431248	1.126616	0.6487576
340.88	1	0.9781115	0.9869677	0.9827028	1.43477	1.130045	0.6509339
340.96	1	0.9781253	0.9869759	0.9827137	1.438299	1.133483	0.6531163
341.04	1	0.9781391	0.9869841	0.9827246	1.441835	1.136929	0.6553047
341.12	1	0.9781529	0.9869923	0.9827355	1.445377	1.140384	0.6574991
341.2	1	0.9781666	0.9870005	0.9827463	1.448926	1.143848	0.6596996
341.28	1	0.9781804	0.9870086	0.9827572	1.452481	1.14732	0.6619062
341.36	1	0.9781941	0.9870168	0.982768	1.456043	1.1508	0.6641188
341.44	1	0.9782078	0.987025	0.9827789	1.459611	1.154289	0.6663376
341.52	1	0.9782216	0.9870331	0.9827897	1.463186	1.157787	0.6685625
341.6	1	0.9782353	0.9870413	0.9828005	1.466768	1.161293	0.6707935
341.68	1	0.978249	0.9870494	0.9828113	1.470356	1.164808	0.6730306
341.76	1	0.9782627	0.9870576	0.9828221	1.473951	1.168331	0.6752739
341.84	1	0.9782763	0.9870657	0.9828329	1.477552	1.171863	0.6775234
341.92	1	0.97829	0.9870738	0.9828437	1.48116	1.175404	0.679779
342	1	0.9783036	0.987082	0.9828545	1.484775	1.178954	0.6820409
342.08	1	0.9783173	0.9870901	0.9828652	1.488396	1.182512	0.6843089
342.16	1	0.9783309	0.9870982	0.982876	1.492024	1.186079	0.6865832
342.24	1	0.9783445	0.9871063	0.9828867	1.495658	1.189654	0.6888636
342.32	1	0.9783581	0.9871144	0.9828975	1.4993	1.193239	0.6911503
342.4	1	0.9783717	0.9871225	0.9829082	1.502948	1.196832	0.6934433
342.48	1	0.9783853	0.9871305	0.9829189	1.506602	1.200434	0.6957426
342.56	1	0.9783989	0.9871386	0.9829296	1.510263	1.204044	0.6980481
342.64	1	0.9784124	0.9871467	0.9829403	1.513931	1.207664	0.7003599
342.72	1	0.978426	0.9871547	0.982951	1.517606	1.211292	0.702678
342.8	1	0.9784395	0.9871628	0.9829617	1.521287	1.214929	0.7050024
342.88	1	0.9784531	0.9871708	0.9829724	1.524975	1.218575	0.7073332
342.96	1	0.9784666	0.9871789	0.982983	1.52867	1.22223	0.7096703
343.04	1	0.9784801	0.9871869	0.9829937	1.532372	1.225894	0.7120138
343.12	1	0.9784936	0.9871949	0.9830043	1.53608	1.229566	0.7143636
343.2	1	0.9785071	0.987203	0.983015	1.539795	1.233248	0.7167198
343.28	1	0.9785205	0.987211	0.9830256	1.543517	1.236938	0.7190824
343.36	1	0.978534	0.987219	0.9830362	1.547245	1.240637	0.7214514
343.44	1	0.9785474	0.987227	0.9830468	1.55098	1.244346	0.7238269
343.52	1	0.9785609	0.987235	0.9830574	1.554722	1.248063	0.7262087
343.6	1	0.9785743	0.9872429	0.983068	1.558471	1.251789	0.728597
343.68	1	0.9785877	0.9872509	0.9830786	1.562227	1.255525	0.7309918
343.76	1	0.9786011	0.9872589	0.9830892	1.565989	1.259269	0.7333931
343.84	1	0.9786145	0.9872669	0.9830998	1.569758	1.263022	0.7358008
343.92	1	0.9786279	0.9872748	0.9831103	1.573534	1.266785	0.738215
344	1	0.9786413	0.9872828	0.9831209	1.577317	1.270556	0.7406358
344.08	1	0.9786546	0.9872907	0.9831314	1.581106	1.274337	0.7430631
344.16	1	0.978668	0.9872987	0.983142	1.584902	1.278127	0.7454969
344.24	1	0.9786813	0.9873066	0.9831525	1.588706	1.281926	0.7479372
344.32	1	0.9786946	0.9873145	0.983163	1.592516	1.285733	0.7503842
344.4	1	0.9787079	0.9873224	0.9831735	1.596333	1.289551	0.7528377
344.48	1	0.9787212	0.9873304	0.983184	1.600156	1.293377	0.7552978
344.56	1	0.9787345	0.9873383	0.9831945	1.603987	1.297212	0.7577644
344.64	1	0.9787478	0.9873462	0.983205	1.607824	1.301057	0.7602378
344.72	1	0.9787611	0.987354	0.9832155	1.611669	1.304911	0.7627177
344.8	1	0.9787743	0.9873619	0.9832259	1.61552	1.308774	0.7652043
344.88	1	0.9787876	0.9873698	0.9832364	1.619378	1.312646	0.7676975
344.96	1	0.9788008	0.9873777	0.9832468	1.623243	1.316528	0.7701974
345.04	1	0.9788141	0.9873856	0.9832573	1.627115	1.320418	0.772704
345.12	1	0.9788273	0.9873934	0.9832677	1.630993	1.324319	0.7752173
345.2	1	0.9788405	0.9874013	0.9832781	1.634879	1.328228	0.7777373
345.28	1	0.9788537	0.9874091	0.9832885	1.638772	1.332147	0.7802641
345.36	1	0.9788669	0.987417	0.9832989	1.642671	1.336075	0.7827975
345.44	1	0.97888	0.9874248	0.9833093	1.646578	1.340012	0.7853377
345.52	1	0.9788932	0.9874326	0.9833197	1.650491	1.343959	0.7878847
345.6	1	0.9789063	0.9874404	0.9833301	1.654412	1.347916	0.7904384
345.68	1	0.9789195	0.9874483	0.9833405	1.658339	1.351881	0.792999
345.76	1	0.9789326	0.9874561	0.9833508	1.662273	1.355856	0.7955663
345.84	1	0.9789457	0.9874639	0.9833612	1.666214	1.359841	0.7981405
345.92	1	0.9789588	0.9874717	0.9833715	1.670163	1.363835	0.8007215
346	1	0.9789719	0.9874795	0.9833818	1.674118	1.367838	0.8033093
346.08	1	0.978985	0.9874872	0.9833922	1.67808	1.371851	0.805904
346.16	1	0.9789981	0.987495	0.9834025	1.682049	1.375873	0.8085055
346.24	1	0.9790111	0.9875028	0.9834128	1.686025	1.379905	0.8111139
346.32	1	0.9790242	0.9875105	0.9834231	1.690009	1.383947	0.8137293
346.4	1	0.9790372	0.9875183	0.9834334	1.693999	1.387998	0.8163515
346.48	1	0.9790503	0.9875261	0.9834437	1.697996	1.392058	0.8189807
346.56	1	0.9790633	0.9875338	0.9834539	1.702	1.396128	0.8216168
346.64	1	0.9790763	0.9875415	0.9834642	1.706012	1.400208	0.8242598
346.72	1	0.9790893	0.9875493	0.9834745	1.71003	1.404297	0.8269098
346.8	1	0.9791023	0.987557	0.9834847	1.714055	1.408396	0.8295668
346.88	1	0.9791153	0.9875647	0.983495	1.718088	1.412505	0.8322308
346.96	1	0.9791282	0.9875724	0.9835052	1.722127	1.416623	0.8349018
347.04	1	0.9791412	0.9875801	0.9835154	1.726174	1.420751	0.8375798
347.12	1	0.9791541	0.9875878	0.9835256	1.730228	1.424889	0.8402648
347.2	1	0.9791671	0.9875955	0.9835358	1.734289	1.429036	0.8429569
347.28	1	0.97918	0.9876032	0.983546	1.738357	1.433194	0.845656
347.36	1	0.9791929	0.9876109	0.9835562	1.742431	1.43736	0.8483622
347.44	1	0.9792058	0.9876186	0.9835664	1.746514	1.441537	0.8510755
347.52	1	0.9792187	0.9876262	0.9835766	1.750603	1.445723	0.8537959
347.6	1	0.9792316	0.9876339	0.9835868	1.754699	1.44992	0.8565234
347.68	1	0.9792445	0.9876416	0.9835969	1.758803	1.454126	0.8592581
347.76	1	0.9792573	0.9876492	0.9836071	1.762913	1.458341	0.8619999
347.84	1	0.9792702	0.9876569	0.9836172	1.767031	1.462567	0.8647488
347.92	1	0.979283	0.9876645	0.9836273	1.771156	1.466803	0.8675049
348	1	0.9792958	0.9876721	0.9836375	1.775288	1.471048	0.8702681
348.08	1	0.9793087	0.9876797	0.9836476	1.779427	1.475303	0.8730386
348.16	1	0.9793215	0.9876874	0.9836577	1.783574	1.479568	0.8758163
348.24	1	0.9793343	0.987695	0.9836678	1.787727	1.483844	0.8786012
348.32	1	0.979347	0.9877026	0.9836779	1.791888	1.488129	0.8813933
348.4	1	0.9793598	0.9877102	0.983688	1.796056	1.492424	0.8841927
348.48	1	0.9793726	0.9877178	0.983698	1.800231	1.496729	0.8869994
348.56	1	0.9793853	0.9877254	0.9837081	1.804413	1.501044	0.8898133
348.64	1	0.9793981	0.9877329	0.9837182	1.808603	1.505369	0.8926345
348.72	1	0.9794108	0.9877405	0.9837282	1.8128	1.509704	0.8954631
348.8	1	0.9794235	0.9877481	0.9837383	1.817004	1.514049	0.8982989
348.88	1	0.9794363	0.9877556	0.9837483	1.821215	1.518404	0.9011421
348.96	1	0.979449	0.9877632	0.9837583	1.825434	1.522769	0.9039926
349.04	1	0.9794617	0.9877708	0.9837683	1.829659	1.527144	0.9068505
349.12	1	0.9794743	0.9877783	0.9837783	1.833892	1.53153	0.9097158
349.2	1	0.979487	0.9877858	0.9837883	1.838132	1.535925	0.9125884
349.28	1	0.9794997	0.9877934	0.9837983	1.84238	1.540331	0.9154685
349.36	1	0.9795123	0.9878009	0.9838083	1.846635	1.544746	0.9183559
349.44	1	0.979525	0.9878084	0.9838183	1.850897	1.549172	0.9212508
349.52	1	0.9795376	0.9878159	0.9838283	1.855166	1.553609	0.9241532
349.6	1	0.9795502	0.9878234	0.9838382	1.859443	1.558055	0.927063
349.68	1	0.9795628	0.9878309	0.9838482	1.863727	1.562512	0.9299802
349.76	1	0.9795754	0.9878384	0.9838581	1.868018	1.566978	0.932905
349.84	1	0.979588	0.9878459	0.9838681	1.872317	1.571455	0.9358373
349.92	1	0.9796006	0.9878534	0.983878	1.876623	1.575943	0.938777
350	1	0.9796132	0.9878609	0.9838879	1.880936	1.58044	0.9417243
350.08	1	0.9796257	0.9878683	0.9838978	1.885256	1.584948	0.9446792
350.16	1	0.9796383	0.9878758	0.9839077	1.889584	1.589467	0.9476416
350.24	1	0.9796508	0.9878833	0.9839176	1.89392	1.593995	0.9506115
350.32	1	0.9796633	0.9878907	0.9839275	1.898262	1.598534	0.9535891
350.4	1	0.9796759	0.9878982	0.9839374	1.902612	1.603084	0.9565742
350.48	1	0.9796884	0.9879056	0.9839472	1.90697	1.607643	0.959567
350.56	1	0.9797009	0.987913	0.9839571	1.911334	1.612213	0.9625674
350.64	1	0.9797133	0.9879205	0.983967	1.915707	1.616794	0.9655754
350.72	1	0.9797258	0.9879279	0.9839768	1.920086	1.621385	0.9685911
350.8	1	0.9797383	0.9879353	0.9839867	1.924473	1.625986	0.9716145
350.88	1	0.9797507	0.9879427	0.9839965	1.928867	1.630598	0.9746455
350.96	1	0.9797632	0.9879501	0.9840063	1.933269	1.635221	0.9776842
351.04	1	0.9797756	0.9879575	0.9840161	1.937678	1.639854	0.9807307
351.12	1	0.9797881	0.9879649	0.9840259	1.942095	1.644497	0.9837849
351.2	1	0.9798005	0.9879723	0.9840357	1.946519	1.649151	0.9868468
351.28	1	0.9798129	0.9879797	0.9840455	1.95095	1.653816	0.9899164
351.36	1	0.9798253	0.987987	0.9840553	1.955389	1.658491	0.9929939
351.44	1	0.9798377	0.9879944	0.9840651	1.959835	1.663177	0.9960791
351.52	1	0.97985	0.9880018	0.9840748	1.964289	1.667873	0.9991721
351.6	1	0.9798624	0.9880091	0.9840846	1.968751	1.67258	1.002273
351.68	1	0.9798748	0.9880165	0.9840944	1.973219	1.677297	1.005382
351.76	1	0.9798871	0.9880238	0.9841041	1.977696	1.682026	1.008498
351.84	1	0.9798994	0.9880311	0.9841138	1.982179	1.686765	1.011622
351.92	1	0.9799118	0.9880385	0.9841236	1.98667	1.691514	1.014755
352	1	0.9799241	0.9880458	0.9841333	1.991169	1.696274	1.017895
352.08	1	0.9799364	0.9880531	0.984143	1.995675	1.701046	1.021043
352.16	1	0.9799487	0.9880604	0.9841527	2.000189	1.705827	1.024199
352.24	1	0.979961	0.9880677	0.9841624	2.00471	1.71062	1.027362
352.32	1	0.9799732	0.988075	0.9841721	2.009239	1.715423	1.030534
352.4	1	0.9799855	0.9880823	0.9841818	2.013775	1.720237	1.033714
352.48	1	0.9799978	0.9880896	0.9841914	2.018319	1.725062	1.036902
352.56	1	0.98001	0.9880969	0.9842011	2.022871	1.729898	1.040097
352.64	1	0.9800222	0.9881042	0.9842107	2.027429	1.734745	1.043301
352.72	1	0.9800345	0.9881115	0.9842204	2.031996	1.739602	1.046513
352.8	1	0.9800467	0.9881187	0.98423	2.03657	1.744471	1.049732
352.88	1	0.9800589	0.988126	0.9842397	2.041152	1.74935	1.05296
352.96	1	0.9800711	0.9881332	0.9842493	2.045741	1.75424	1.056196
353.04	1	0.9800833	0.9881405	0.9842589	2.050338	1.759141	1.05944
353.12	1	0.9800954	0.9881477	0.9842685	2.054942	1.764053	1.062692
353.2	1	0.9801076	0.988155	0.9842781	2.059554	1.768976	1.065952
353.28	1	0.9801198	0.9881622	0.9842877	2.064174	1.77391	1.06922
353.36	1	0.9801319	0.9881694	0.9842973	2.068801	1.778855	1.072496
353.44	1	0.9801441	0.9881767	0.9843069	2.073436	1.783811	1.075781
353.52	1	0.9801562	0.9881839	0.9843165	2.078078	1.788778	1.079073
353.6	1	0.9801683	0.9881911	0.984326	2.082728	1.793756	1.082374
353.68	1	0.9801804	0.9881983	0.9843356	2.087386	1.798746	1.085683
353.76	1	0.9801925	0.9882055	0.9843451	2.092051	1.803746	1.089
353.84	1	0.9802046	0.9882127	0.9843547	2.096725	1.808757	1.092325
353.92	1	0.9802167	0.9882198	0.9843642	2.101405	1.81378	1.095659
354	1	0.9802287	0.988227	0.9843737	2.106094	1.818813	1.099001
354.08	1	0.9802408	0.9882342	0.9843832	2.11079	1.823858	1.102351
354.16	1	0.9802528	0.9882414	0.9843927	2.115493	1.828914	1.105709
354.24	1	0.9802649	0.9882485	0.9844022	2.120205	1.833981	1.109076
354.32	1	0.9802769	0.9882557	0.9844117	2.124924	1.83906	1.112451
354.4	1	0.9802889	0.9882628	0.9844212	2.129651	1.844149	1.115834
354.48	1	0.9803009	0.98827	0.9844307	2.134385	1.84925	1.119226
354.56	1	0.9803129	0.9882771	0.9844402	2.139127	1.854362	1.122626
354.64	1	0.9803249	0.9882842	0.9844496	2.143877	1.859485	1.126034
354.72	1	0.9803369	0.9882914	0.9844591	2.148635	1.86462	1.129451
354.8	1	0.9803489	0.9882985	0.9844685	2.1534	1.869766	1.132876
354.88	1	0.9803609	0.9883056	0.984478	2.158174	1.874923	1.136309
354.96	1	0.9803728	0.9883127	0.9844874	2.162954	1.880092	1.139751
355.04	1	0.9803848	0.9883198	0.9844968	2.167743	1.885272	1.143202
355.12	1	0.9803967	0.9883269	0.9845063	2.172539	1.890463	1.14666
355.2	1	0.9804086	0.988334	0.9845157	2.177344	1.895666	1.150128
355.28	1	0.9804205	0.9883411	0.9845251	2.182156	1.90088	1.153603
355.36	1	0.9804324	0.9883482	0.9845345	2.186975	1.906106	1.157088
355.44	1	0.9804443	0.9883553	0.9845439	2.191803	1.911343	1.16058
355.52	1	0.9804562	0.9883623	0.9845532	2.196638	1.916592	1.164081
355.6	1	0.9804681	0.9883694	0.9845626	2.201481	1.921852	1.167591
355.68	1	0.9804799	0.9883764	0.984572	2.206332	1.927123	1.17111
355.76	1	0.9804918	0.9883835	0.9845813	2.211191	1.932406	1.174637
355.84	1	0.9805036	0.9883905	0.9845907	2.216057	1.937701	1.178172
355.92	1	0.9805155	0.9883976	0.9846	2.220932	1.943007	1.181716
356	1	0.9805273	0.9884046	0.9846094	2.225814	1.948325	1.185269
356.08	1	0.9805391	0.9884117	0.9846187	2.230704	1.953654	1.18883
356.16	1	0.9805509	0.9884187	0.984628	2.235602	1.958995	1.1924
356.24	1	0.9805627	0.9884257	0.9846373	2.240507	1.964347	1.195979
356.32	1	0.9805745	0.9884327	0.9846466	2.245421	1.969711	1.199566
356.4	1	0.9805863	0.9884397	0.9846559	2.250342	1.975087	1.203162
356.48	1	0.9805981	0.9884467	0.9846652	2.255272	1.980475	1.206767
356.56	1	0.9806098	0.9884537	0.9846745	2.260209	1.985874	1.21038
356.64	1	0.9806216	0.9884607	0.9846838	2.265154	1.991285	1.214002
356.72	1	0.9806333	0.9884677	0.984693	2.270107	1.996707	1.217633
356.8	1	0.9806451	0.9884747	0.9847023	2.275068	2.002142	1.221273
356.88	1	0.9806568	0.9884816	0.9847115	2.280037	2.007588	1.224921
356.96	1	0.9806685	0.9884886	0.9847208	2.285013	2.013046	1.228578
357.04	1	0.9806802	0.9884956	0.98473	2.289998	2.018516	1.232244
357.12	1	0.9806919	0.9885025	0.9847393	2.29499	2.023997	1.235919
357.2	1	0.9807036	0.9885095	0.9847485	2.299991	2.029491	1.239603
357.28	1	0.9807153	0.9885164	0.9847577	2.304999	2.034996	1.243295
357.36	1	0.9807269	0.9885234	0.9847669	2.310015	2.040513	1.246997
357.44	1	0.9807386	0.9885303	0.9847761	2.31504	2.046042	1.250707
357.52	1	0.9807503	0.9885372	0.9847853	2.320072	2.051583	1.254426
357.6	1	0.9807619	0.9885442	0.9847945	2.325112	2.057136	1.258154
357.68	1	0.9807735	0.9885511	0.9848037	2.33016	2.0627	1.261891
357.76	1	0.9807851	0.988558	0.9848128	2.335216	2.068277	1.265637
357.84	1	0.9807968	0.9885649	0.984822	2.34028	2.073866	1.269392
357.92	1	0.9808084	0.9885718	0.9848312	2.345352	2.079466	1.273156
358	1	0.98082	0.9885787	0.9848403	2.350433	2.085079	1.276929
358.08	1	0.9808315	0.9885856	0.9848495	2.355521	2.090704	1.280711
358.16	1	0.9808431	0.9885925	0.9848586	2.360617	2.096341	1.284501
358.24	1	0.9808547	0.9885993	0.9848677	2.365721	2.101989	1.288301
358.32	1	0.9808662	0.9886062	0.9848768	2.370833	2.10765	1.29211
358.4	1	0.9808778	0.9886131	0.984886	2.375953	2.113323	1.295928
358.48	1	0.9808893	0.98862	0.9848951	2.381081	2.119008	1.299755
358.56	1	0.9809008	0.9886268	0.9849042	2.386217	2.124706	1.303591
358.64	1	0.9809124	0.9886337	0.9849133	2.391362	2.130415	1.307437
358.72	1	0.9809239	0.9886405	0.9849223	2.396514	2.136137	1.311291
358.8	1	0.9809354	0.9886474	0.9849314	2.401674	2.14187	1.315155
358.88	1	0.9809469	0.9886542	0.9849405	2.406843	2.147616	1.319027
358.96	1	0.9809584	0.988661	0.9849495	2.412019	2.153375	1.322909
359.04	1	0.9809698	0.9886678	0.9849586	2.417204	2.159145	1.3268
359.12	1	0.9809813	0.9886747	0.9849676	2.422396	2.164928	1.330701
359.2	1	0.9809927	0.9886815	0.9849767	2.427597	2.170723	1.33461
359.28	1	0.9810042	0.9886883	0.9849857	2.432806	2.17653	1.338529
359.36	1	0.9810156	0.9886951	0.9849948	2.438023	2.18235	1.342457
359.44	1	0.9810271	0.9887019	0.9850038	2.443248	2.188181	1.346394
359.52	1	0.9810385	0.9887087	0.9850128	2.448481	2.194026	1.35034
359.6	1	0.9810499	0.9887155	0.9850218	2.453722	2.199882	1.354296
359.68	1	0.9810613	0.9887222	0.9850308	2.458972	2.205751	1.358261
359.76	1	0.9810727	0.988729	0.9850398	2.464229	2.211633	1.362235
359.84	1	0.9810841	0.9887358	0.9850488	2.469495	2.217527	1.366219
359.92	1	0.9810954	0.9887426	0.9850577	2.474769	2.223433	1.370212
360	1	0.9811068	0.9887493	0.9850667	2.48005	2.229352	1.374215
