TEMP	PRES	LIQUID PHIPC ACETONE	LIQUID PHIPC METHANOL	LIQUID PHIPC ETHANOL
K	bar		
331.84	1	0.9997022	1.000305	1.001233
331.92	1	0.9996939	1.000301	1.001229
332	1	0.9996855	1.000297	1.001225
332.08	1	0.999677	1.000293	1.001221
332.16	1	0.9996686	1.000289	1.001218
332.24	1	0.9996601	1.000285	1.001214
332.32	1	0.9996517	1.000281	1.00121
332.4	1	0.9996432	1.000276	1.001206
332.48	1	0.9996347	1.000272	1.001203
332.56	1	0.9996262	1.000268	1.001199
332.64	1	0.9996176	1.000264	1.001195
332.72	1	0.9996091	1.00026	1.001191
332.8	1	0.9996005	1.000256	1.001187
332.88	1	0.9995919	1.000251	1.001184
332.96	1	0.9995833	1.000247	1.00118
333.04	1	0.9995747	1.000243	1.001176
333.12	1	0.9995661	1.000239	1.001172
333.2	1	0.9995575	1.000235	1.001168
333.28	1	0.9995488	1.00023	1.001164
333.36	1	0.9995401	1.000226	1.00116
333.44	1	0.9995314	1.000222	1.001156
333.52	1	0.9995227	1.000217	1.001153
333.6	1	0.999514	1.000213	1.001149
333.68	1	0.9995052	1.000209	1.001145
333.76	1	0.9994965	1.000205	1.001141
333.84	1	0.9994877	1.0002	1.001137
333.92	1	0.9994789	1.000196	1.001133
334	1	0.9994701	1.000192	1.001129
334.08	1	0.9994612	1.000187	1.001125
334.16	1	0.9994524	1.000183	1.001121
334.24	1	0.9994435	1.000178	1.001117
334.32	1	0.9994346	1.000174	1.001113
334.4	1	0.9994257	1.00017	1.001109
334.48	1	0.9994168	1.000165	1.001105
334.56	1	0.9994079	1.000161	1.001101
334.64	1	0.999399	1.000156	1.001097
334.72	1	0.99939	1.000152	1.001093
334.8	1	0.999381	1.000148	1.001089
334.88	1	0.999372	1.000143	1.001084
334.96	1	0.999363	1.000139	1.00108
335.04	1	0.999354	1.000134	1.001076
335.12	1	0.9993449	1.00013	1.001072
335.2	1	0.9993358	1.000125	1.001068
335.28	1	0.9993268	1.000121	1.001064
335.36	1	0.9993177	1.000116	1.00106
335.44	1	0.9993085	1.000112	1.001056
335.52	1	0.9992994	1.000107	1.001051
335.6	1	0.9992903	1.000102	1.001047
335.68	1	0.9992811	1.000098	1.001043
335.76	1	0.9992719	1.000093	1.001039
335.84	1	0.9992627	1.000089	1.001035
335.92	1	0.9992535	1.000084	1.00103
336	1	0.9992442	1.00008	1.001026
336.08	1	0.999235	1.000075	1.001022
336.16	1	0.9992257	1.00007	1.001018
336.24	1	0.9992164	1.000066	1.001013
336.32	1	0.9992071	1.000061	1.001009
336.4	1	0.9991978	1.000056	1.001005
336.48	1	0.9991884	1.000052	1.001
336.56	1	0.9991791	1.000047	1.000996
336.64	1	0.9991697	1.000042	1.000992
336.72	1	0.9991603	1.000038	1.000987
336.8	1	0.9991509	1.000033	1.000983
336.88	1	0.9991415	1.000028	1.000979
336.96	1	0.999132	1.000023	1.000974
337.04	1	0.9991225	1.000019	1.00097
337.12	1	0.9991131	1.000014	1.000966
337.2	1	0.9991036	1.000009	1.000961
337.28	1	0.999094	1.000004	1.000957
337.36	1	0.9990845	0.9999994	1.000952
337.44	1	0.9990749	0.9999946	1.000948
337.52	1	0.9990654	0.9999898	1.000943
337.6	1	0.9990558	0.999985	1.000939
337.68	1	0.9990462	0.9999801	1.000935
337.76	1	0.9990365	0.9999753	1.00093
337.84	1	0.9990269	0.9999704	1.000926
337.92	1	0.9990172	0.9999655	1.000921
338	1	0.9990076	0.9999606	1.000917
338.08	1	0.9989979	0.9999557	1.000912
338.16	1	0.9989881	0.9999508	1.000907
338.24	1	0.9989784	0.9999459	1.000903
338.32	1	0.9989687	0.9999409	1.000898
338.4	1	0.9989589	0.999936	1.000894
338.48	1	0.9989491	0.999931	1.000889
338.56	1	0.9989393	0.9999261	1.000885
338.64	1	0.9989295	0.9999211	1.00088
338.72	1	0.9989196	0.9999161	1.000875
338.8	1	0.9989098	0.9999111	1.000871
338.88	1	0.9988999	0.999906	1.000866
338.96	1	0.99889	0.999901	1.000861
339.04	1	0.9988801	0.999896	1.000857
339.12	1	0.9988702	0.9998909	1.000852
339.2	1	0.9988602	0.9998859	1.000847
339.28	1	0.9988502	0.9998808	1.000843
339.36	1	0.9988402	0.9998757	1.000838
339.44	1	0.9988302	0.9998706	1.000833
339.52	1	0.9988202	0.9998655	1.000828
339.6	1	0.9988102	0.9998603	1.000824
339.68	1	0.9988001	0.9998552	1.000819
339.76	1	0.99879	0.9998501	1.000814
339.84	1	0.9987799	0.9998449	1.000809
339.92	1	0.9987698	0.9998397	1.000805
340	1	0.9987597	0.9998345	1.0008
340.08	1	0.9987495	0.9998293	1.000795
340.16	1	0.9987394	0.9998241	1.00079
340.24	1	0.9987292	0.9998189	1.000785
340.32	1	0.998719	0.9998137	1.00078
340.4	1	0.9987087	0.9998084	1.000776
340.48	1	0.9986985	0.9998032	1.000771
340.56	1	0.9986882	0.9997979	1.000766
340.64	1	0.9986779	0.9997926	1.000761
340.72	1	0.9986676	0.9997873	1.000756
340.8	1	0.9986573	0.999782	1.000751
340.88	1	0.998647	0.9997767	1.000746
340.96	1	0.9986366	0.9997713	1.000741
341.04	1	0.9986262	0.999766	1.000736
341.12	1	0.9986158	0.9997606	1.000731
341.2	1	0.9986054	0.9997553	1.000726
341.28	1	0.998595	0.9997499	1.000721
341.36	1	0.9985845	0.9997445	1.000716
341.44	1	0.998574	0.9997391	1.000711
341.52	1	0.9985636	0.9997337	1.000706
341.6	1	0.998553	0.9997282	1.000701
341.68	1	0.9985425	0.9997228	1.000696
341.76	1	0.998532	0.9997173	1.000691
341.84	1	0.9985214	0.9997119	1.000686
341.92	1	0.9985108	0.9997064	1.000681
342	1	0.9985002	0.9997009	1.000675
342.08	1	0.9984896	0.9996954	1.00067
342.16	1	0.9984789	0.9996898	1.000665
342.24	1	0.9984683	0.9996843	1.00066
342.32	1	0.9984576	0.9996788	1.000655
342.4	1	0.9984469	0.9996732	1.00065
342.48	1	0.9984362	0.9996676	1.000644
342.56	1	0.9984254	0.999662	1.000639
342.64	1	0.9984146	0.9996564	1.000634
342.72	1	0.9984039	0.9996508	1.000629
342.8	1	0.9983931	0.9996452	1.000624
342.88	1	0.9983822	0.9996396	1.000618
342.96	1	0.9983714	0.9996339	1.000613
343.04	1	0.9983606	0.9996283	1.000608
343.12	1	0.9983497	0.9996226	1.000602
343.2	1	0.9983388	0.9996169	1.000597
343.28	1	0.9983279	0.9996112	1.000592
343.36	1	0.9983169	0.9996055	1.000586
343.44	1	0.998306	0.9995998	1.000581
343.52	1	0.998295	0.999594	1.000576
343.6	1	0.998284	0.9995883	1.00057
343.68	1	0.998273	0.9995825	1.000565
343.76	1	0.9982619	0.9995767	1.000559
343.84	1	0.9982509	0.9995709	1.000554
343.92	1	0.9982398	0.9995651	1.000549
344	1	0.9982287	0.9995593	1.000543
344.08	1	0.9982176	0.9995535	1.000538
344.16	1	0.9982065	0.9995476	1.000532
344.24	1	0.9981953	0.9995418	1.000527
344.32	1	0.9981841	0.9995359	1.000521
344.4	1	0.9981729	0.99953	1.000516
344.48	1	0.9981617	0.9995241	1.00051
344.56	1	0.9981505	0.9995182	1.000505
344.64	1	0.9981392	0.9995123	1.000499
344.72	1	0.998128	0.9995063	1.000493
344.8	1	0.9981167	0.9995004	1.000488
344.88	1	0.9981054	0.9994944	1.000482
344.96	1	0.998094	0.9994884	1.000477
345.04	1	0.9980827	0.9994824	1.000471
345.12	1	0.9980713	0.9994764	1.000465
345.2	1	0.9980599	0.9994704	1.00046
345.28	1	0.9980485	0.9994644	1.000454
345.36	1	0.9980371	0.9994583	1.000448
345.44	1	0.9980256	0.9994522	1.000443
345.52	1	0.9980141	0.9994462	1.000437
345.6	1	0.9980026	0.9994401	1.000431
345.68	1	0.9979911	0.999434	1.000425
345.76	1	0.9979796	0.9994279	1.00042
345.84	1	0.997968	0.9994217	1.000414
345.92	1	0.9979564	0.9994156	1.000408
346	1	0.9979448	0.9994094	1.000402
346.08	1	0.9979332	0.9994032	1.000397
346.16	1	0.9979216	0.9993971	1.000391
346.24	1	0.9979099	0.9993909	1.000385
346.32	1	0.9978982	0.9993846	1.000379
346.4	1	0.9978865	0.9993784	1.000373
346.48	1	0.9978748	0.9993722	1.000367
346.56	1	0.9978631	0.9993659	1.000361
346.64	1	0.9978513	0.9993596	1.000355
346.72	1	0.9978395	0.9993534	1.00035
346.8	1	0.9978277	0.9993471	1.000344
346.88	1	0.9978159	0.9993407	1.000338
346.96	1	0.9978041	0.9993344	1.000332
347.04	1	0.9977922	0.9993281	1.000326
347.12	1	0.9977803	0.9993217	1.00032
347.2	1	0.9977684	0.9993154	1.000314
347.28	1	0.9977565	0.999309	1.000308
347.36	1	0.9977445	0.9993026	1.000302
347.44	1	0.9977325	0.9992962	1.000296
347.52	1	0.9977206	0.9992897	1.00029
347.6	1	0.9977085	0.9992833	1.000283
347.68	1	0.9976965	0.9992768	1.000277
347.76	1	0.9976844	0.9992704	1.000271
347.84	1	0.9976724	0.9992639	1.000265
347.92	1	0.9976603	0.9992574	1.000259
348	1	0.9976482	0.9992509	1.000253
348.08	1	0.997636	0.9992443	1.000247
348.16	1	0.9976239	0.9992378	1.00024
348.24	1	0.9976117	0.9992312	1.000234
348.32	1	0.9975995	0.9992247	1.000228
348.4	1	0.9975872	0.9992181	1.000222
348.48	1	0.997575	0.9992115	1.000215
348.56	1	0.9975627	0.9992049	1.000209
348.64	1	0.9975504	0.9991982	1.000203
348.72	1	0.9975381	0.9991916	1.000197
348.8	1	0.9975258	0.9991849	1.00019
348.88	1	0.9975135	0.9991782	1.000184
348.96	1	0.9975011	0.9991715	1.000178
349.04	1	0.9974887	0.9991648	1.000171
349.12	1	0.9974763	0.9991581	1.000165
349.2	1	0.9974638	0.9991514	1.000159
349.28	1	0.9974514	0.9991446	1.000152
349.36	1	0.9974389	0.9991379	1.000146
349.44	1	0.9974264	0.9991311	1.000139
349.52	1	0.9974139	0.9991243	1.000133
349.6	1	0.9974013	0.9991175	1.000126
349.68	1	0.9973887	0.9991107	1.00012
