PRES	MOLEFRAC ACETO-01	TOTAL TEMP	TOTAL KVL ACETO-01	TOTAL KVL ETHAN-01	LIQUID1 GAMMA ACETO-01	LIQUID1 GAMMA ETHAN-01	LIQUID2 GAMMA ACETO-01	LIQUID2 GAMMA ETHAN-01	TOTAL KVL2 ACETO-01	TOTAL KVL2 ETHAN-01	TOTAL BETA	VAPOR MOLEFRAC ACETO-01	VAPOR MOLEFRAC ETHAN-01	LIQUID1 MOLEFRAC ACETO-01	LIQUID1 MOLEFRAC ETHAN-01	LIQUID2 MOLEFRAC ACETO-01	LIQUID2 MOLEFRAC ETHAN-01	LIQUID GAMMA ETHAN-01
bar		C															
1	0.098	71.38714	3.082225	0.7737716	1.882811	1.008466					1	0.3020581	0.6979419	0.098	0.902			1.008466
1	0.1	71.28175	3.063693	0.7707007	1.877341	1.008813					1	0.3063694	0.6936306	0.1	0.9			1.008813
1	0.102	71.17733	3.045372	0.767675	1.871898	1.009168					1	0.3106279	0.6893721	0.102	0.898			1.009168
1	0.104	71.07386	3.027256	0.7646935	1.866482	1.00953					1	0.3148347	0.6851653	0.104	0.896			1.00953
1	0.106	70.97134	3.009344	0.7617556	1.861093	1.009898					1	0.3189905	0.6810095	0.106	0.894			1.009898
1	0.108	70.86974	2.991633	0.7588606	1.855732	1.010274					1	0.3230963	0.6769037	0.108	0.892			1.010274
1	0.11	70.76906	2.974118	0.7560079	1.850398	1.010656					1	0.327153	0.672847	0.11	0.89			1.010656
1	0.112	70.66928	2.956798	0.7531966	1.84509	1.011046					1	0.3311614	0.6688386	0.112	0.888			1.011046
1	0.114	70.57041	2.93967	0.7504262	1.839809	1.011442					1	0.3351224	0.6648776	0.114	0.886			1.011442
1	0.116	70.47242	2.92273	0.747696	1.834556	1.011846					1	0.3390367	0.6609633	0.116	0.884			1.011846
1	0.118	70.3753	2.905976	0.7450054	1.829328	1.012256					1	0.3429052	0.6570948	0.118	0.882			1.012256
1	0.12	70.27906	2.889406	0.7423538	1.824128	1.012673					1	0.3467287	0.6532713	0.12	0.88			1.012673
1	0.122	70.18366	2.873015	0.7397405	1.818954	1.013097					1	0.3505079	0.6494921	0.122	0.878			1.013097
1	0.124	70.08911	2.856803	0.7371649	1.813806	1.013529					1	0.3542436	0.6457565	0.124	0.876			1.013529
1	0.126	69.9954	2.840765	0.7346266	1.808684	1.013967					1	0.3579364	0.6420636	0.126	0.874			1.013967
1	0.128	69.90251	2.8249	0.7321248	1.803589	1.014412					1	0.3615873	0.6384127	0.128	0.872			1.014412
1	0.13	69.81043	2.809205	0.729659	1.79852	1.014864					1	0.3651967	0.6348033	0.13	0.87			1.014864
1	0.132	69.71916	2.793678	0.7272287	1.793476	1.015323					1	0.3687656	0.6312344	0.132	0.868			1.015323
1	0.134	69.62869	2.778316	0.7248333	1.788459	1.015789					1	0.3722944	0.6277056	0.134	0.866			1.015789
1	0.136	69.539	2.763117	0.7224723	1.783467	1.016262					1	0.375784	0.624216	0.136	0.864			1.016262
1	0.138	69.45009	2.748079	0.7201452	1.778501	1.016742					1	0.3792349	0.6207651	0.138	0.862			1.016742
1	0.14	69.36195	2.733198	0.7178515	1.77356	1.017228					1	0.3826478	0.6173522	0.14	0.86			1.017228
1	0.142	69.27457	2.718474	0.7155906	1.768645	1.017722					1	0.3860233	0.6139767	0.142	0.858			1.017722
1	0.144	69.18794	2.703903	0.7133621	1.763756	1.018223					1	0.3893621	0.6106379	0.144	0.856			1.018223
1	0.146	69.10205	2.689484	0.7111655	1.758891	1.018731					1	0.3926647	0.6073353	0.146	0.854			1.018731
1	0.148	69.01689	2.675214	0.7090004	1.754052	1.019245					1	0.3959317	0.6040683	0.148	0.852			1.019245
1	0.15	68.93246	2.661092	0.7068662	1.749238	1.019767					1	0.3991638	0.6008362	0.15	0.85			1.019767
1	0.152	68.84874	2.647115	0.7047625	1.744449	1.020296					1	0.4023615	0.5976385	0.152	0.848			1.020296
1	0.154	68.76573	2.633281	0.7026888	1.739684	1.020831					1	0.4055253	0.5944747	0.154	0.846			1.020831
1	0.156	68.68342	2.619588	0.7006448	1.734945	1.021374					1	0.4086558	0.5913442	0.156	0.844			1.021374
1	0.158	68.6018	2.606035	0.69863	1.73023	1.021923					1	0.4117536	0.5882464	0.158	0.842			1.021923
1	0.16	68.52086	2.592619	0.6966439	1.725539	1.02248					1	0.4148191	0.5851809	0.16	0.84			1.02248
1	0.162	68.4406	2.579339	0.6946863	1.720873	1.023043					1	0.417853	0.582147	0.162	0.838			1.023043
1	0.164	68.361	2.566192	0.6927565	1.716231	1.023614					1	0.4208556	0.5791444	0.164	0.836			1.023614
1	0.166	68.28207	2.553178	0.6908544	1.711614	1.024191					1	0.4238275	0.5761725	0.166	0.834			1.024191
1	0.168	68.20379	2.540293	0.6889794	1.70702	1.024776					1	0.4267692	0.5732308	0.168	0.832			1.024776
1	0.17	68.12615	2.527536	0.6871312	1.702451	1.025367					1	0.4296812	0.5703188	0.17	0.83			1.025367
1	0.172	68.04915	2.514906	0.6853094	1.697905	1.025966					1	0.4325639	0.5674361	0.172	0.828			1.025966
1	0.174	67.97278	2.502401	0.6835136	1.693383	1.026571					1	0.4354178	0.5645822	0.174	0.826			1.026571
1	0.176	67.89703	2.490019	0.6817436	1.688885	1.027184					1	0.4382433	0.5617567	0.176	0.824			1.027184
1	0.178	67.82189	2.477758	0.6799988	1.684411	1.027803					1	0.441041	0.558959	0.178	0.822			1.027803
1	0.18	67.74737	2.465618	0.6782791	1.67996	1.02843					1	0.4438112	0.5561888	0.18	0.82			1.02843
1	0.182	67.67344	2.453595	0.676584	1.675532	1.029063					1	0.4465544	0.5534456	0.182	0.818			1.029063
1	0.184	67.60011	2.44169	0.6749131	1.671128	1.029704					1	0.4492709	0.5507291	0.184	0.816			1.029704
1	0.186	67.52737	2.429899	0.6732663	1.666746	1.030352					1	0.4519613	0.5480387	0.186	0.814			1.030352
1	0.188	67.45521	2.418222	0.6716431	1.662388	1.031006					1	0.4546258	0.5453742	0.188	0.812			1.031006
1	0.19	67.38362	2.406658	0.6700432	1.658053	1.031668					1	0.457265	0.542735	0.19	0.81			1.031668
1	0.192	67.3126	2.395204	0.6684664	1.653741	1.032336					1	0.4598792	0.5401208	0.192	0.808			1.032336
1	0.194	67.24214	2.383859	0.6669123	1.649451	1.033012					1	0.4624688	0.5375312	0.194	0.806			1.033012
1	0.196	67.17224	2.372623	0.6653805	1.645184	1.033695					1	0.4650341	0.5349659	0.196	0.804			1.033695
1	0.198	67.10289	2.361493	0.6638709	1.64094	1.034385					1	0.4675755	0.5324245	0.198	0.802			1.034385
1	0.2	67.03407	2.350467	0.6623832	1.636718	1.035082					1	0.4700935	0.5299065	0.2	0.8			1.035082
1	0.202	66.9658	2.339546	0.6609169	1.632518	1.035786					1	0.4725883	0.5274117	0.202	0.798			1.035786
