TEMP	PRES	LIQUID FUG ACETONE	LIQUID FUG METHANOL	LIQUID FUG ETHANOL
K	bar	bar	bar	bar
345.36	1	1.642671	1.336075	0.7827975
345.44	1	1.646578	1.340012	0.7853377
345.52	1	1.650491	1.343959	0.7878847
345.6	1	1.654412	1.347916	0.7904384
345.68	1	1.658339	1.351881	0.792999
345.76	1	1.662273	1.355856	0.7955663
345.84	1	1.666214	1.359841	0.7981405
345.92	1	1.670163	1.363835	0.8007215
346	1	1.674118	1.367838	0.8033093
346.08	1	1.67808	1.371851	0.805904
346.16	1	1.682049	1.375873	0.8085055
346.24	1	1.686025	1.379905	0.8111139
346.32	1	1.690009	1.383947	0.8137293
346.4	1	1.693999	1.387998	0.8163515
346.48	1	1.697996	1.392058	0.8189807
346.56	1	1.702	1.396128	0.8216168
346.64	1	1.706012	1.400208	0.8242598
346.72	1	1.71003	1.404297	0.8269098
346.8	1	1.714055	1.408396	0.8295668
346.88	1	1.718088	1.412505	0.8322308
346.96	1	1.722127	1.416623	0.8349018
347.04	1	1.726174	1.420751	0.8375798
347.12	1	1.730228	1.424889	0.8402648
347.2	1	1.734289	1.429036	0.8429569
347.28	1	1.738357	1.433194	0.845656
347.36	1	1.742431	1.43736	0.8483622
347.44	1	1.746514	1.441537	0.8510755
347.52	1	1.750603	1.445723	0.8537959
347.6	1	1.754699	1.44992	0.8565234
347.68	1	1.758803	1.454126	0.8592581
347.76	1	1.762913	1.458341	0.8619999
347.84	1	1.767031	1.462567	0.8647488
347.92	1	1.771156	1.466803	0.8675049
348	1	1.775288	1.471048	0.8702681
348.08	1	1.779427	1.475303	0.8730386
348.16	1	1.783574	1.479568	0.8758163
348.24	1	1.787727	1.483844	0.8786012
348.32	1	1.791888	1.488129	0.8813933
348.4	1	1.796056	1.492424	0.8841927
348.48	1	1.800231	1.496729	0.8869994
348.56	1	1.804413	1.501044	0.8898133
348.64	1	1.808603	1.505369	0.8926345
348.72	1	1.8128	1.509704	0.8954631
348.8	1	1.817004	1.514049	0.8982989
348.88	1	1.821215	1.518404	0.9011421
