Time(s),Absorbance (AU)
0,0.000030517578125
15,-0.000030517578125
30,-0.0000762939453125
45,0.0000457763671875
60,-0.00006103515625
75,0.000030517578125
90,-0.0000457763671875
105,-0.0001068115234375
120,-0.000030517578125
135,-0.0000457763671875
150,-0.0000152587890625
165,-0.00006103515625
180,-0.0000152587890625
195,0
210,-0.000030517578125
225,-0.0000457763671875
240,0.0000457763671875
255,0.00006103515625
270,-0.00006103515625
285,0.000030517578125
300,0.00006103515625
315,0.0001220703125
330,0.000152587890625
345,0.000152587890625
360,0.0001678466796875
375,0.000244140625
390,0.000244140625
405,0.0002593994140625
420,0.00006103515625
435,0.0001678466796875
450,0.00018310546875
465,0.0001678466796875
480,0.000244140625
495,0.0000762939453125
510,0.0001678466796875
525,0.000091552734375
540,0.00006103515625
555,0.0000457763671875
570,0.0000457763671875
585,0.000030517578125
600,0.00006103515625
615,-0.0000152587890625
630,0.0001220703125
645,0
660,0.0000457763671875
675,0
690,0.0000152587890625
705,0.000030517578125
720,-0.0000152587890625
735,0.0000457763671875
750,-0.000030517578125
765,-0.0000152587890625
780,0
795,-0.0000457763671875
810,0.000091552734375
825,-0.0000152587890625
840,0
855,-0.000030517578125
870,0.0000152587890625
885,0.00006103515625
900,0.000030517578125
915,0.0000762939453125
930,-0.0000152587890625
945,0.0000762939453125
960,0.0001068115234375
