Wavelength (nm),Absorbance (AU),Std.Dev.
190,0.279006958007812,0.0379730900297336
192,0.391799926757812,0.0419808305863373
194,0.49237060546875,0.0450490726354328
196,0.708648681640625,0.0414320379601493
198,1.075439453125,0.0267085826780808
200,1.46900939941406,0.030943319370615
202,1.81277465820313,0.0362250722480301
204,2.1470947265625,0.0513786970233043
206,2.38069152832031,0.0875209238375316
208,2.53343200683594,0.0572768683539656
210,2.68418884277344,0.0808131283811609
212,2.61918640136719,0.069439018885278
214,2.64610290527344,0.0862918829467755
216,2.53402709960937,0.0516748302942303
218,2.57444763183594,0.0802446819694302
220,2.52568054199219,0.0594982273895618
222,2.42921447753906,0.0491008011327208
224,2.59295654296875,0.0841432001114766
226,2.51687622070312,0.0555182437638746
228,2.54307556152344,0.0424327362937508
230,2.55770874023438,0.0497184455521791
232,2.57502746582031,0.0353725981958493
234,2.66590881347656,0.028437929255002
236,2.81449890136719,0.0336028330743853
238,2.97021484375,0.0555182437638746
240,3.09126281738281,0.0653640645729747
242,3.15730285644531,0.0600089511552235
244,3.13450622558594,0.0487890468624875
246,3.10272216796875,0.0576750900790367
248,3.02072143554687,0.0587238139780192
250,2.93901062011719,0.0306957688388705
252,2.80497741699219,0.0282360005757831
254,2.70053100585938,0.0271336796668941
256,2.56980895996094,0.0210810870555888
258,2.42242431640625,0.0104039432386047
260,2.12763977050781,0.00573600592015172
262,1.43962097167969,0.0012508484821728
264,0.835311889648438,0.000328684375435456
266,0.480026245117188,0.000206417072425364
268,0.317047119140625,0.000204718137588482
270,0.259857177734375,0.000132584741187918
272,0.249130249023437,0.000162919284851552
274,0.256805419921875,0.000196002694376604
276,0.273361206054687,0.000207541969432609
278,0.294403076171875,0.000149115145001923
280,0.31939697265625,0.000170939304370179
282,0.348297119140625,0.000167151659394887
284,0.380630493164062,0.000197776510571529
286,0.416183471679688,0.000172633491500622
288,0.454544067382813,0.000168193112831487
290,0.49615478515625,0.000177946529994058
292,0.541854858398438,0.000253498042691592
294,0.591766357421875,0.000219535744780551
296,0.646575927734375,0.000282184478895675
298,0.70452880859375,0.000211981872397611
300,0.764373779296875,0.00026074230179802
302,0.823760986328125,0.000351945879964319
304,0.88201904296875,0.000390815688319876
306,0.93890380859375,0.000322967689338939
308,0.993865966796875,0.000477675654373124
310,1.04594421386719,0.000490184887823761
312,1.09346008300781,0.000402554503121122
314,1.13121032714844,0.000593329531714587
316,1.15478515625,0.000601126574816657
318,1.1611328125,0.000533839589982175
320,1.1502685546875,0.000812019939920048
322,1.12939453125,0.000729874312933435
324,1.11056518554687,0.000475721962528073
326,1.10336303710937,0.000490184887823761
328,1.11141967773438,0.000701240557438724
330,1.13580322265625,0.000693226116430698
332,1.17259216308594,0.000653104692353293
334,1.21589660644531,0.000861006834696404
336,1.26162719726563,0.000711786119976233
338,1.30368041992187,0.000991703906815913
340,1.34243774414062,0.00103939125768594
342,1.37211608886719,0.00114512103511314
344,1.3922119140625,0.00103219815217821
346,1.40376281738281,0.00115160902490925
348,1.40359497070313,0.0021143198334581
350,1.39004516601562,0.00129762522128109
352,1.36416625976563,0.00166928641738005
354,1.32423400878906,0.0014443554157958
356,1.27587890625,0.000882375017993223
358,1.21726989746094,0.00113859607581651
360,1.13496398925781,0.00227063906710672
362,1.05619812011719,0.00119603991346835
364,0.97216796875,0.000779244710376203
366,0.880996704101563,0.000647375593127332
368,0.788711547851563,0.000622438905467869
370,0.698211669921875,0.000337767694414957
372,0.609664916992188,0.000236388143689418
374,0.52728271484375,0.000221646713963836
376,0.452804565429688,0.000161843898281833
378,0.385757446289062,0.000204148684085993
380,0.32806396484375,0.000143951128113657
382,0.27685546875,0.000169228157141257
384,0.234039306640625,0.000124898571348151
386,0.19769287109375,0.000127664188619091
388,0.167037963867187,0.000109502411608943
390,0.143173217773437,0.000100058571232636
392,0.1220703125,0.0000949851959075068
394,0.106033325195312,0.0000982978723657618
396,0.093292236328125,0.0000965050555471307
398,0.082061767578125,0.000103490142564778
400,0.07513427734375,0.0000707520942344338
402,0.0684356689453125,0.000115705496887994
404,0.0633697509765625,0.0000912342891166794
406,0.059234619140625,0.000103208536212682
408,0.0566864013671875,0.000092501492713792
410,0.0543365478515625,0.000100058571232636
412,0.0526275634765625,0.0000741661914643234
414,0.051422119140625,0.0000952911071532959
416,0.050445556640625,0.0000791032461293324
418,0.049560546875,0.0000825245195494993
420,0.048614501953125,0.0000828764380737321
422,0.047882080078125,0.0000812808065515996
424,0.047607421875,0.0000928155903670993
426,0.047332763671875,0.000092501492713792
428,0.046539306640625,0.0000807419223347348
430,0.046600341796875,0.0000699245558922705
432,0.04644775390625,0.0000828764380737321
434,0.04571533203125,0.000097703922079969
436,0.04571533203125,0.0000709574708470851
438,0.0455322265625,0.0000912342891166794
440,0.0451507568359375,0.0000965050555471307
442,0.0449371337890625,0.0000854696521850894
444,0.0448760986328125,0.0000640596604299418
446,0.0445098876953125,0.0000660724947955657
448,0.0443572998046875,0.0000873224116688507
450,0.0441741943359375,0.0000703395420630866
452,0.0440521240234375,0.0000766744661035224
454,0.0439300537109375,0.000058726517938006
456,0.04412841796875,0.000086316745750311
458,0.043182373046875,0.0000682393791961606
460,0.0434722900390625,0.0000899492349437835
462,0.04364013671875,0.0000713664510111607
464,0.0430145263671875,0.000086316745750311
466,0.043121337890625,0.000114948418985896
468,0.04296875,0.0000869884815291701
470,0.0429229736328125,0.000112128741887658
472,0.0428619384765625,0.000108165335683882
474,0.0424652099609375,0.000107895932187889
476,0.04248046875,0.0000971063389690999
478,0.042327880859375,0.000101502492490006
480,0.0419921875,0.000119174952330119
482,0.0424652099609375,0.000100927402918419
484,0.040802001953125,0.000106538696622993
486,0.0397796630859375,0.0000622158295833591
488,0.0409393310546875,0.000113419103601978
490,0.0417022705078125,0.000115201331104595
492,0.0414886474609375,0.000110032692732666
494,0.0412445068359375,0.00014191494169417
496,0.0413055419921875,0.000100058571232636
498,0.0410919189453125,0.000119174952330119
500,0.04083251953125,0.000138594834324531
502,0.0405120849609375,0.000102926159387451
504,0.040802001953125,0.0000943703985355605
