Wavelength (nm),Absorbance (AU),Std.Dev.
190,0.331436157226562,0.0450490726354328
192,0.386688232421875,0.0453865235883682
194,0.527069091796875,0.0460540082912172
196,0.743484497070313,0.0494105884401309
198,1.12249755859375,0.0441941738241592
200,1.46633911132812,0.0387684242993734
202,1.8897705078125,0.0465483409680195
204,2.17478942871094,0.0696584160161211
206,2.38835144042969,0.0596263184471631
208,2.56982421875,0.0848654725875017
210,2.64573669433594,0.0848654725875017
212,2.74491882324219,0.0982016022654417
214,2.65090942382812,0.0914429680524971
216,2.65631103515625,0.109375
218,2.66392517089844,0.0819381912632931
220,2.57511901855469,0.0966352881004139
222,2.64877319335937,0.153888403153064
224,2.60304260253906,0.0873464053710855
226,2.61251831054688,0.0741158826601964
228,2.78242492675781,0.136215591985646
230,2.84280395507812,0.0480008036228301
232,2.958740234375,0.0698771242968684
234,3.02206420898438,0.0634690500362184
236,3.22016906738281,0.0917760947224276
238,3.25752258300781,0.0988211768802619
240,3.31163024902344,0.0864685297702291
242,3.388916015625,0.100959749869688
244,3.45695495605469,0.142778647519508
246,3.44065856933594,0.10065702130254
248,3.34089660644531,0.0943987966687076
250,3.33627319335937,0.0943987966687076
252,3.35337829589844,0.0722392265972927
254,3.28416442871094,0.0924387466109315
256,3.12606811523437,0.0703125
258,3.04434204101563,0.0452181129015243
260,2.96257019042969,0.055242717280199
262,2.86573791503906,0.0319740342651268
264,2.4998779296875,0.0119603991346835
266,1.62437438964844,0.00241686888100871
268,1.08230590820312,0.000499594285392606
270,0.86309814453125,0.000435878199984305
272,0.820480346679688,0.00042286396669162
274,0.858795166015625,0.000499594285392606
276,0.932342529296875,0.00039790053742692
278,1.02455139160156,0.000745029029280622
280,1.13418579101562,0.000823409275099612
282,1.25776672363281,0.00118036374547203
284,1.39991760253906,0.00178573472147556
286,1.55209350585937,0.00167374379892604
288,1.71913146972656,0.00203531884772132
290,1.89476013183594,0.00386020222188523
292,2.08201599121094,0.00432618289713607
294,2.29315185546875,0.00840070826859632
296,2.49960327148437,0.0149065796117908
298,2.73626708984375,0.0256893485116522
300,2.91291809082031,0.0378724988860651
302,3.12564086914063,0.0658292951029403
304,3.26910400390625,0.071602745233685
306,3.29112243652344,0.0753410215702575
308,3.47331237792969,0.1015625
310,3.58915710449219,0.184877493221863
312,3.47230529785156,0.10539638721275
314,3.60206604003906,0.14532090029483
316,3.56047058105469,0.118996454779124
318,3.751953125,0.222072975055498
320,3.64973449707031,0.171875
322,3.52821350097656,0.146158491670857
324,3.60247802734375,0.20131404260508
326,3.432861328125,0.097264840609287
328,3.42985534667969,0.163876382526586
330,3.5311279296875,0.15625
332,3.43479919433594,0.148642949925316
334,3.36224365234375,0.107404117850528
336,3.45016479492187,0.174692810742171
338,3.37814331054687,0.127896137060507
340,3.36470031738281,0.15108655942042
342,3.19294738769531,0.0560652347437786
344,3.14503479003906,0.0600089511552235
346,3.16030883789063,0.068554409276501
348,3.08027648925781,0.0720276910726007
350,3.03785705566406,0.0724501444960602
352,2.97274780273438,0.0546875
354,2.9051513671875,0.0462193733054658
356,2.905517578125,0.0598816785810777
358,2.79354858398437,0.0476818578739598
360,2.61105346679687,0.0676582346706593
362,2.56826782226563,0.0259846380774415
364,2.53880310058594,0.0259846380774415
366,2.48226928710937,0.0257634881997518
368,2.39764404296875,0.0163410161432437
370,2.27351379394531,0.0104724661081676
372,2.10556030273437,0.0117593697058519
374,1.89353942871094,0.00439453125
376,1.66407775878906,0.00282613205634527
378,1.42732238769531,0.00142879637582027
380,1.20419311523438,0.000823409275099612
382,0.99713134765625,0.000617933860208636
384,0.819992065429688,0.000332907474201529
386,0.668533325195313,0.000231913515526896
388,0.540267944335938,0.000147939448773692
390,0.437454223632813,0.000201854805836837
392,0.349517822265625,0.000108434069851318
394,0.281768798828125,0.000114948418985896
396,0.226486206054687,0.000107895932187889
398,0.1820068359375,0.0000837497650150305
400,0.149917602539062,0.0000940614929652248
402,0.12322998046875,0.0000988882552857645
404,0.102752685546875,0.0000869884815291701
406,0.0870513916015625,0.00008199380973894
408,0.0759429931640625,0.0000789190706847275
410,0.067291259765625,0.0000823479963108936
412,0.06072998046875,0.000064512384511138
414,0.0561065673828125,0.0000968061640964472
416,0.052764892578125,0.0000743621394715039
418,0.0501861572265625,0.0000876550696798405
420,0.0482177734375,0.0000859789098326465
422,0.04644775390625,0.0000842694169402104
424,0.0455474853515625,0.0000729794558323249
426,0.0448150634765625,0.0000931286286600777
428,0.0441131591796875,0.0000928155903670993
430,0.0441131591796875,0.0000899492349437835
432,0.04339599609375,0.000102074342042997
434,0.0431671142578125,0.000106265169351075
436,0.0428314208984375,0.0000656305333484087
438,0.0427093505859375,0.0000837497650150305
440,0.04241943359375,0.000084957341962128
442,0.0421142578125,0.0000801994172730585
444,0.0421600341796875,0.0000584782017393337
446,0.0419769287109375,0.000066947665309083
448,0.0418853759765625,0.0000803806591251582
450,0.0416412353515625,0.0000796532173836559
452,0.041656494140625,0.0000709574708470851
454,0.0416717529296875,0.0000717731007470199
456,0.0417022705078125,0.00010063862578028
458,0.0411376953125,0.0000751408218520821
460,0.0411834716796875,0.0000879864699910797
462,0.0413818359375,0.000105163946167681
464,0.04119873046875,0.0000896250925023707
466,0.041015625,0.000110560430497661
468,0.04083251953125,0.000083051838138875
470,0.0411224365234375,0.000107625854337051
472,0.0410614013671875,0.0000832268685503823
474,0.040679931640625,0.000120631319433913
476,0.04071044921875,0.000105990936198805
478,0.040771484375,0.0000928155903670993
480,0.040618896484375,0.000114186321617857
482,0.0409088134765625,0.0000994751343567299
484,0.03936767578125,0.0000980013471883021
486,0.03802490234375,0.000059952673513419
488,0.0394134521484375,0.000132584741187918
490,0.04034423828125,0.000114694949175819
492,0.040252685546875,0.000105163946167681
494,0.0401458740234375,0.000136478758392321
496,0.0403900146484375,0.000086316745750311
498,0.040069580078125,0.000106265169351075
500,0.039947509765625,0.000102926159387451
502,0.03961181640625,0.0000889732649970291
504,0.0397186279296875,0.0000876550696798405
506,0.039703369140625,0.00011444091796875
508,0.0399169921875,0.000119418913593281
510,0.0401153564453125,0.00016148384466947
512,0.039794921875,0.0001068115234375
514,0.03973388671875,0.00013775230472769
516,0.0398101806640625,0.000117700566257794
518,0.0398712158203125,0.0001373291015625
520,0.0396881103515625,0.00018310546875
522,0.039886474609375,0.000161122986465018
524,0.039642333984375,0.000145159130786441
526,0.039642333984375,0.000151054305063044
528,0.03948974609375,0.000155983339693152
530,0.03924560546875,0.000161122986465018
532,0.03912353515625,0.000129475118625466
534,0.0386505126953125,0.000153728040158156
536,0.0389556884765625,0.000124431659166718
538,0.03851318359375,0.000123020290348794
540,0.03839111328125,0.000148332382928647
542,0.0385589599609375,0.000114948418985896
544,0.038116455078125,0.000123020290348794
546,0.0377655029296875,0.000132144989591131
548,0.0377044677734375,0.000115453689196942
550,0.0380706787109375,0.000134329352277062
552,0.037841796875,0.000112904728599157
554,0.0375213623046875,0.000124898571348151
556,0.0373382568359375,0.000121352948918052
558,0.037353515625,0.000133459897495544
560,0.0370941162109375,0.000114694949175819
562,0.0367431640625,0.00011134734740697
