Time(s),Absorbance (AU)
0,-0.00006103515625
7,-0.000091552734375
14,-0.0000762939453125
21,-0.000213623046875
28,-0.0002288818359375
35,-0.0001373291015625
42,-0.000152587890625
49,-0.0001983642578125
56,-0.0000152587890625
63,-0.000091552734375
70,-0.0001068115234375
77,-0.000152587890625
84,-0.00018310546875
91,-0.0001373291015625
98,-0.000213623046875
105,-0.0001373291015625
112,-0.000091552734375
119,-0.0001220703125
126,-0.000091552734375
133,-0.0001068115234375
140,-0.000091552734375
147,-0.0000762939453125
154,-0.00018310546875
161,-0.000152587890625
168,-0.0001373291015625
175,-0.0001983642578125
182,-0.000213623046875
189,-0.0002593994140625
196,-0.0001983642578125
203,-0.0001678466796875
210,-0.0001220703125
217,-0.000091552734375
224,-0.0001220703125
231,-0.000091552734375
238,-0.0001373291015625
245,-0.0001220703125
252,-0.0001068115234375
259,-0.0001983642578125
266,-0.000152587890625
273,-0.000244140625
280,-0.0001220703125
287,-0.0001678466796875
294,-0.000213623046875
301,-0.0001068115234375
308,-0.0001068115234375
315,-0.0000762939453125
322,-0.000091552734375
329,-0.00006103515625
336,-0.0000457763671875
343,0.0000152587890625
350,-0.000091552734375
357,-0.000091552734375
364,-0.0001983642578125
371,-0.0000762939453125
378,-0.0001373291015625
385,-0.0001068115234375
392,-0.0001068115234375
399,-0.0001373291015625
406,0
413,-0.00006103515625
420,-0.000030517578125
427,-0.00006103515625
434,0.000030517578125
441,-0.0000762939453125
448,-0.0001068115234375
